path,label
data/cropped/me\IMG_6375.jpg,1
data/cropped/me\IMG_6376.jpg,1
data/cropped/me\IMG_6391.jpg,1
data/cropped/me\IMG_6393.jpg,1
data/cropped/me\IMG_6394.jpg,1
data/cropped/me\IMG_6395.jpg,1
data/cropped/me\IMG_6396.jpg,1
data/cropped/me\IMG_6397.jpg,1
data/cropped/me\IMG_6399.jpg,1
data/cropped/me\IMG_6406.jpg,1
data/cropped/me\IMG_6407.jpg,1
data/cropped/me\IMG_6408.jpg,1
data/cropped/me\IMG_6419.jpg,1
data/cropped/me\IMG_6422.jpg,1
data/cropped/me\IMG_6423.jpg,1
data/cropped/me\IMG_6433.jpg,1
data/cropped/me\IMG_6444.jpg,1
data/cropped/me\IMG_6445.jpg,1
data/cropped/me\IMG_6446.jpg,1
data/cropped/me\IMG_6447.jpg,1
data/cropped/me\IMG_6448.jpg,1
data/cropped/me\IMG_6449.jpg,1
data/cropped/me\IMG_6450.jpg,1
data/cropped/me\IMG_6451.jpg,1
data/cropped/me\IMG_6454.jpg,1
data/cropped/me\IMG_6455.jpg,1
data/cropped/me\IMG_6456.jpg,1
data/cropped/me\IMG_6457.jpg,1
data/cropped/me\IMG_6458.jpg,1
data/cropped/me\IMG_6460.jpg,1
data/cropped/me\IMG_6461.jpg,1
data/cropped/me\IMG_6465.jpg,1
data/cropped/me\IMG_6468.jpg,1
data/cropped/me\IMG_6469.jpg,1
data/cropped/me\IMG_6470.jpg,1
data/cropped/me\IMG_6471.jpg,1
data/cropped/me\IMG_6472.jpg,1
data/cropped/me\IMG_6473.jpg,1
data/cropped/me\IMG_6474.jpg,1
data/cropped/me\IMG_6475.jpg,1
data/cropped/me\IMG_6482.jpg,1
data/cropped/me\IMG_6484.jpg,1
data/cropped/me\IMG_6486.jpg,1
data/cropped/me\IMG_6487.jpg,1
data/cropped/me\IMG_6489.jpg,1
data/cropped/me\IMG_6492.jpg,1
data/cropped/me\IMG_6528.jpg,1
data/cropped/me\IMG_6529.jpg,1
data/cropped/me\IMG_6530.jpg,1
data/cropped/me\IMG_6531.jpg,1
data/cropped/me\IMG_6532.jpg,1
data/cropped/me\IMG_6533.jpg,1
data/cropped/me\IMG_6534.jpg,1
data/cropped/me\IMG_6535.jpg,1
data/cropped/me\IMG_6536.jpg,1
data/cropped/me\IMG_6540.jpg,1
data/cropped/me\IMG_6541.jpg,1
data/cropped/me\IMG_6542.jpg,1
data/cropped/me\IMG_6543.jpg,1
data/cropped/me\IMG_6544.jpg,1
data/cropped/me\IMG_6545.jpg,1
data/cropped/me\IMG_6546.jpg,1
data/cropped/not_me\1762126061897.jpg,0
data/cropped/not_me\1762126061908.jpg,0
data/cropped/not_me\1762126061919.jpg,0
data/cropped/not_me\1762126061931.jpg,0
data/cropped/not_me\1762126061947.jpg,0
data/cropped/not_me\1762126061962.jpg,0
data/cropped/not_me\1762126061974.jpg,0
data/cropped/not_me\1762126061988.jpg,0
data/cropped/not_me\1762126062000.jpg,0
data/cropped/not_me\1762126062010.jpg,0
data/cropped/not_me\1762126062023.jpg,0
data/cropped/not_me\1762126062036.jpg,0
data/cropped/not_me\1762126062047.jpg,0
data/cropped/not_me\1762126062060.jpg,0
data/cropped/not_me\1762126062078.jpg,0
data/cropped/not_me\1762126062090.jpg,0
data/cropped/not_me\1762126062104.jpg,0
data/cropped/not_me\1762126062121.jpg,0
data/cropped/not_me\1762126062136.jpg,0
data/cropped/not_me\1762126062151.jpg,0
data/cropped/not_me\IMG_20251016_224945230.jpg,0
data/cropped/not_me\IMG_20251016_224950185_HDR.jpg,0
data/cropped/not_me\IMG_20251016_225225571_HDR.jpg,0
data/cropped/not_me\IMG_20251016_225252625_HDR.jpg,0
data/cropped/not_me\IMG_20251102_174942.jpg,0
data/cropped/not_me\IMG_20251102_174943.jpg,0
data/cropped/not_me\IMG_20251102_174944.jpg,0
data/cropped/not_me\IMG_20251102_174946.jpg,0
data/cropped/not_me\IMG_20251102_174947.jpg,0
data/cropped/not_me\IMG_20251102_174949.jpg,0
data/cropped/not_me\IMG_20251102_174952.jpg,0
data/cropped/not_me\IMG_20251102_174954.jpg,0
data/cropped/not_me\IMG_20251102_174955.jpg,0
data/cropped/not_me\IMG_20251102_174956.jpg,0
data/cropped/not_me\IMG_20251102_174957.jpg,0
data/cropped/not_me\IMG_20251102_174958.jpg,0
data/cropped/not_me\IMG_20251102_174959.jpg,0
data/cropped/not_me\IMG_20251102_175000.jpg,0
data/cropped/not_me\IMG_20251102_175001.jpg,0
data/cropped/not_me\IMG_20251102_175003.jpg,0
data/cropped/not_me\IMG_20251102_175005.jpg,0
data/cropped/not_me\IMG_20251102_175006.jpg,0
data/cropped/not_me\IMG_20251102_175007.jpg,0
data/cropped/not_me\IMG_20251102_175008.jpg,0
data/cropped/not_me\IMG_20251102_175009.jpg,0
data/cropped/not_me\IMG_20251102_175010.jpg,0
data/cropped/not_me\IMG_20251102_175011.jpg,0
data/cropped/not_me\IMG_20251102_175013.jpg,0
data/cropped/not_me\IMG_20251102_175014.jpg,0
data/cropped/not_me\IMG_20251102_175015.jpg,0
data/cropped/not_me\IMG_20251102_175015_1.jpg,0
data/cropped/not_me\IMG_20251102_175016.jpg,0
data/cropped/not_me\IMG_20251102_175017.jpg,0
data/cropped/not_me\IMG_20251102_175019.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-10.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-11.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-12.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-13.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-14.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-15.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-16.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-17.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-18.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-19.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-2.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-20.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-21.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-22.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-23.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-24.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-25.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-26.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-27.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-28.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-29.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-3.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-30.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-31.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-32.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-33.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-34.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-35.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-36.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-37.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-38.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-39.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-4.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-40.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-41.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-42.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-43.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-44.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-45.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-46.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-47.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-5.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-6.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-7.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-8.jpg,0
data/cropped/not_me\webcam_Francisco_Tropa-9.jpg,0
